term,coef_logit,std_err_cluster,p_value_cluster,odds_ratio,or_ci_low,or_ci_high
Intercept,2.2088733024522864,0.3245994246551979,1.0110500312844957e-11,9.10545152152329,4.819443332103757,17.20307547938731
C(treatment)[T.T1],-0.04864977655293472,0.23505103047563122,0.8360290854135315,0.9525146642583808,0.600886150230081,1.509910297116774
C(treatment)[T.T2],0.09298389186842673,0.21734006691040766,0.6687772687235669,1.0974440573524331,0.7167683024038443,1.680296763931941
C(treatment)[T.T3],0.12212824043020223,0.1907322321525771,0.5219694284236391,1.1298989912224973,0.777472554998674,1.6420794819796498
C(treatment)[T.T4],-0.09089451864480366,0.17553587659556233,0.6045897021233342,0.9131140223241703,0.6473003732711978,1.2880839440141951
C(treatment)[T.T5],-0.36172151608935793,0.24141363772041224,0.13404299374826484,0.6964762982804789,0.43392123565352453,1.1178969688724854
temp,-0.04072784145112614,0.2402118217462892,0.8653642860611889,0.9600903912016016,0.5995697213721644,1.5373917768363787
C(treatment)[T.T1]:temp,-0.00399129630322075,0.2636006767834762,0.9879193329251102,0.9960166583332465,0.5941350534221971,1.669736835022877
C(treatment)[T.T2]:temp,-0.37619464860487317,0.3898752357735822,0.33458971899589507,0.6864686998622497,0.31970706934697957,1.473972023368458
C(treatment)[T.T3]:temp,-0.289231430349531,0.2834059150100435,0.30746514023182503,0.7488388813031721,0.429683226743797,1.305053665699045
C(treatment)[T.T4]:temp,-0.14474729840836936,0.2948420831773307,0.6234748195236268,0.8652409132426706,0.48547000179190203,1.5420970094665456
C(treatment)[T.T5]:temp,-0.26405171142753403,0.36493663798915565,0.4693390063046826,0.7679338276754526,0.37556357223311077,1.5702331303905948
