treatment,temp,predicted_p_correct
T0,0.2,0.9047332747683583
T0,0.5,0.8987275384613566
T0,0.7,0.8945391867702892
T1,0.2,0.9002882872668491
T1,0.5,0.8940351531249925
T1,0.7,0.8896765596081571
T2,0.2,0.8971117374211957
T2,0.5,0.8906835836810212
T2,0.7,0.886204678897773
T3,0.2,0.9034635380883632
T3,0.5,0.8973868346043754
T3,0.7,0.8931496273072579
T4,0.2,0.8901187534775125
T4,0.5,0.8833105275722519
T4,0.7,0.8785707189502451
T5,0.2,0.8537815126267613
T5,0.5,0.8451136034333867
T5,0.7,0.8391048839398385
