config_id,treatment,temp,n_questions,k_runs,accuracy_mean,strict_stability_rate,entropy_mean_bits,mode_freq_mean
T0_temp0.2,T0,0.2,40,5,0.905,0.975,0.0180475,0.9949999999999999
T0_temp0.5,T0,0.5,40,5,0.89,0.925,0.0665975,0.975
T0_temp0.7,T0,0.7,40,5,0.885,0.9,0.0908725,0.9650000000000001
T1_temp0.2,T1,0.2,40,5,0.905,0.975,0.0180475,0.9949999999999999
T1_temp0.5,T1,0.5,40,5,0.905,0.975,0.0180475,0.9949999999999999
T1_temp0.7,T1,0.7,40,5,0.89,0.975,0.024274999999999998,0.99
T2_temp0.2,T2,0.2,40,5,0.865,0.85,0.14319500000000002,0.95
T2_temp0.5,T2,0.5,40,5,0.8550000000000001,0.825,0.1787875,0.9349999999999999
T2_temp0.7,T2,0.7,40,5,0.8550000000000001,0.8,0.176835,0.9400000000000001
T3_temp0.2,T3,0.2,40,5,0.875,0.975,0.024274999999999998,0.99
T3_temp0.5,T3,0.5,40,5,0.8800000000000001,0.95,0.036095,0.99
T3_temp0.7,T3,0.7,40,5,0.8699999999999999,0.975,0.0180475,0.9949999999999999
T4_temp0.2,T4,0.2,40,5,0.885,0.8,0.17306249999999998,0.945
T4_temp0.5,T4,0.5,40,5,0.9,0.925,0.0965975,0.9650000000000001
T4_temp0.7,T4,0.7,40,5,0.86,0.85,0.1469675,0.945
T5_temp0.2,T5,0.2,40,5,0.89,0.95,0.036095,0.99
T5_temp0.5,T5,0.5,40,5,0.89,0.95,0.036095,0.99
T5_temp0.7,T5,0.7,40,5,0.9,0.9,0.07219,0.9800000000000001
