config_id,n_runs,n_correct,accuracy,strict_stability,avg_mode_freq,avg_entropy_bits,avg_total_tokens_per_run,total_tokens,tokens_per_correct
T0_temp0.2,30,14,0.4667,0.8,0.9333,0.1837,,,
T0_temp0.7,30,15,0.5,0.7,0.9,0.2755,,,
T1_temp0.2,30,15,0.5,1.0,1.0,-0.0,,,
T1_temp0.7,30,14,0.4667,0.3,0.7,0.7761,,,
T2_temp0.2,30,10,0.3333,0.5,0.8333,0.4591,,,
T2_temp0.7,30,12,0.4,0.3,0.7,0.7761,,,
T3_temp0.2,30,15,0.5,0.8,0.9333,0.1837,,,
T3_temp0.7,30,13,0.4333,0.4,0.7667,0.6176,,,
T4_temp0.2,30,10,0.3333,0.6,0.8333,0.434,,,
T4_temp0.7,30,13,0.4333,0.3,0.7333,0.7095,,,
T5_temp0.2,30,6,0.2,0.1,0.8,0.551,,,
T5_temp0.7,30,13,0.4333,0.0,0.6,1.0516,,,
